nome	categoria	url
Manual-de-Integracao-SDK-Inner-Acesso.pdf	inner	https://www.dropbox.com/scl/fi/wwx4r7mu5nwjk7hoqckjf/Manual-de-Integra-o-SDK-Inner-Acesso.pdf?rlkey=s5laub5eqd3sr5a0h4nnubh01&dl=1
Instalador-DLLs-SDK-InnerAcesso.zip	inner	https://www.dropbox.com/scl/fi/5ej6i20wdia7qy4xx71ul/Instalador-DLLs-SDK-InnerAcesso.zip?rlkey=gaow5o5ny7mu5i48ha7tseuow&dl=1
DLLs.zip	inner	https://www.dropbox.com/scl/fi/bqxv26rd7726usaf0o7yh/DLLs.zip?rlkey=i48rf5u7hxoez05uh69yr9dd9&dl=1
CSharp-Exemplo-Online.zip	inner	https://www.dropbox.com/scl/fi/7gsbglk2o20419a93owab/C.zip?rlkey=hqu8wjhdezoncyitfu8g7ggfy&dl=1
CSharp-Exemplo-Completo.zip	inner	https://www.dropbox.com/scl/fi/3kyy3gx8x0xxa9rwwc2rw/SDK_C-_Completo.zip?rlkey=e4kaizm7ipd5nwsfnk6jaxzlu&dl=1
Delphi-Exemplo-Online.zip	inner	https://www.dropbox.com/scl/fi/p3ahkzelrfdkpx25njal6/ExemploDelphiOnline.zip?rlkey=hmk062hw965j6t4tqeygc638r&dl=1
Delphi-Exemplo-Completo.zip	inner	https://www.dropbox.com/scl/fi/t58pzmy9vlqx0kmutyki3/SDK_Delphi_Completo.zip?rlkey=v8eh7jv2k2fvcafqww2mfk0ts&dl=1
Java-Exemplo.zip	inner	https://www.dropbox.com/scl/fi/t9m2xzkqfsedg4pmw1di5/Java.zip?rlkey=2wavdlpyxtvyaurmeg9lmmhah&dl=1
SDK-Facial.zip	facial	https://www.dropbox.com/scl/fi/ug245n27jzhpkyepu6ta8/SDK-Facial.zip?rlkey=ryail2cb9r1gqbtj6hpu3c3wo&dl=1
SDK-CSharp-Leitor-Facial.zip	facial	https://www.dropbox.com/scl/fi/6f3m1aymnz8dpg8njk02i/SDK_C-_Leitor_Facial.zip?rlkey=4zb0hptj2ht1bso5sxtpy2poj&dl=1
SDK-Facial-Delphi.zip	facial	https://www.dropbox.com/scl/fi/l9l0go8i2yvqjoq0a0z4i/SDK_FACIAL_DELPHI.zip?rlkey=jaty12hkmgc7arcce3f2m6qw4&dl=1
Manual-SDK-Leitor-Facial.zip	facial	https://www.dropbox.com/scl/fo/akcheygr3rzmuhqsyrsh5/AJ2F6X3izlMulqiEHxpjr_4?rlkey=po3c5ccvp5ic3yx3lh9rpz7kk&dl=1
Manual-Comandos-Leitor-Facial-rev03.zip	facial	https://www.dropbox.com/scl/fi/odb13dlexoibplhgp20t1/Manual-de-Comandos-do-Leitor-Facial-cadastro-de-usu-rios-rev-03.zip?rlkey=amgg7e4789cbo848w6tuk7d9a&dl=1
